code_dga,code_internal,name,lat,lon,elevation,basin,fuente,nivel_depuracion,inicio,fin,Comentarios Javier,Ale,Javier 07/10,,,,,,,,,,
,1130002,Mirador Marchant. Coyhaique,-45.52530,-72.09810,,Aysen,DMC,,,,,,,,,,,,,,,,
,1130003,Teniente Vidal. Coyhaique Ad,-45.59080,-72.10220,299,Aysen,DMC,,,,,,,,,,,,,,,,
,1130001,Cordon Divisadero,-45.61647,-72.01345,1430,Aysen,CECS,,,,,,,,,,,,,,,,
,1130004,Balmaceda Ad,-45.91830,-71.67780,517,Aysen,DMC,,,,,,,,,,,,,,,,
11503002,11503002,Portezuelo Iba�ez,-46.07780,-72.05080,1080,Baker,DGA,,,,,,,,,,,,,,,,
11503001,11503001,Villa Cerro Castillo,-46.12111,-72.15861,345,Baker,DGA,,,,,,,,,,,,,,,,
11505001,11505001,Rio Iba�ez en Desembocadura,-46.26861,-71.98889,220,Baker,DGA,,,,,,,,,,,,,,,,
11513001,11513001,Bahia Murta,-46.45583,-72.67250,240,Baker,DGA,,,,,,,,,,,,,,,,
11521002,11521002,Chile Chico,-46.54333,-71.69944,215,Baker,DGA,,,,,,,,,,,,,,,,
11521005,11521005,Lago General Carrera Fachinal,-46.54333,-72.22639,18,Baker,DGA,,,,,,,,,,,,,,,,
,1150001,Rio Tranquilo,-46.63410,-72.64840,,Baker,CIEP,,,,Eliminar? datos muy malos,,,,,,,,,,,,
11523002,11523002,Lago General Carrera en Puerto Guadal,-46.84194,-72.69722,205,Baker,DGA,,,,,,,,,,,,,,,,
11517002,11517002,Lago General Carrera en Desag�e,-46.84639,-72.80333,210,Baker,DGA,,,,,,,,,,,,,,,,
11533001,11533001,Estancia Valle Chacabuco,-47.11861,-72.49389,343,Baker,DGA,,,,,,,,,,,,,,,,
11532001,11532001,Rio Nef antes Junta Estero El Rebalse,-47.14000,-73.09389,280,Baker,DGA,,,,,,,,,,,,,,,,
11540000,11540000,Lago Cachet 2 en Glaciar Colonia ,-47.19889,-73.25000,427,Baker,DGA,,,,Eliminar hasta antes de 2018,,,,,,,,,,,,
,1150002,Tortel,-47.79490,-73.53160,,Baker,CIEP,,,,,debe est�s m�s baja que los 50 msnm,,,,,,,,,,,
,RioTranquilo_NERC,RioTranquilo_NERC,,,,Baker,CIEP_NERC,,,,,,,,,,,,,,,,
,ValleNevado_METEO,ValleNevado_METEO,,,,Maipo,DGA,,,,Se ve mala,,,,,,,,,,,,
,ValleNevado_SPA,ValleNevado_SPA,,,,Maipo,DGA,,,,Se ve mala,,,,,,,,,,,,
